Interprete,Sesso
Linda,F
Paolo Meneguzzi,M
Bungaro,M
Massimo Modugno e Gipsy Kings,M;M
Stefano Picchi,M
Morris Albert e Mietta,M;F
Neffa,M
Mario Venuti,M
DJ Francesco,M
Simone Tomassini,M
DB Boulevard e Bill Wyman,M;M
Andrea Mingardi e The Blues Brothers Band,M;M
Omar Pedrini,M
Daniele Groff,M
Adriano Pappalardo,M
Veruska,F
Andrè,M
Danny Losito e Las Ketchup,M;F
Pacifico,M
Piotta,M
Toto Cutugno con Annalisa Minetti,M;F
Nicky Nicolai e Stefano Di Battista Jazz Quartet,F;M
Laura Bono,F
La Differenza,F
Veronica Ventavoli,F
Le Vibrazioni,M
Anna Tatangelo,F
DJ Francesco Band,M
Nicola Arigliano,M
Giovanna D'Angi,F
Max De Angelis,M
Equ,M
Velvet,F
Christian Lo Zito,M
Sabrina Guida,F
Modà,M
Concido,M
Enrico Boccadoro,M
Negramaro,M
Povia,M
Nomadi,M
Riccardo Maffoni,M
Simone Cristicchi,M
Dolcenera,F
Zero Assoluto,M
Simona Bencini,F
Nicky Nicolai,F
I Ragazzi di Scampia con Gigi Finizio,M;M
Sugarfree,M
Monia Russo,F
L'Aura,F
Helena Hellwig,F
Tiziano Orecchio,M
Noa, Carlo Fava & Solis String Quartet,F;M;M
Luca Dirisio,M
Andrea Ori,M
Ameba 4,M
Ivan Segreto,M
Mario Venuti e Arancia Sonora,M;M
Antonello,M
Deasonika,M
Virginio,M
Piero Mazzocchetti,M
Francesco con Roby Facchinetti,M;M
Amalia Gré,F
Paolo Rossi,M
Johnny Dorelli,M
Leda Battisti,F
Giò Di Tonno e Lola Ponce,M;F
Fabrizio Moro,M
Finley,M
Eugenio Bennato,M
Frankie hi-nrg mc,M
Tricarico,M
Tiromancino,M
Marco Carta,M
Sal Da Vinci,M
Alexia feat. Mario Lavezzi,F;M
Pupo, Paolo Belli e Youssou N'Dour,M;M;M
Gemelli DiVersi,M
Nicky Nicolai e Stefano Di Battista,F;M
Afterhours,M
Valerio Scanu,M
Pupo ed Emanuele Filiberto con Luca Canonici,M;M;M
Marco Mengoni,M
Noemi,F
Malika Ayane,F
Irene Fornaciari feat. Nomadi,F;M
Arisa,F
Nino D'Angelo con Maria Nazionale,M;F
Sonohra,M
Modà con Emma,M;F
Davide Van De Sfroos,M
Luca Madonia con Franco Battiato,M;M
La Crus,M
Nathalie,F
Luca Barbarossa e Raquel del Rosario,M;F
Giusy Ferreri,F
Max Pezzali,M
Emma,F
Gigi D'Alessio e Loredana Bertè,M;F
Pierdavide Carone e Lucio Dalla,M;M
Nina Zilli,F
Chiara Civello,F
Irene Fornaciari,F
Marlene Kuntz,M
Raphael Gualazzi,M
Chiara,F
Annalisa,F
Maria Nazionale,F
Marta sui Tubi,F
Simona Molinari con Peter Cincotti,F;M
Almamegretta,M
Raphael Gualazzi & The Bloody Beetroots,M;M
Renzo Rubino,M
Perturbazione,M
Francesco Sarcina,M
Giuliano Palma,M
Riccardo Sinigallia,M
Il Volo,M
Dear Jack,M
Lorenzo Fragola,M
Nesli,M
Bianca Atzei,F
Moreno,M
Grazia Di Michele e Mauro Coruzzi,F;M
Biggio e Mandelli,M;M
Lara Fabian,F
Francesca Michielin,F
Giovanni Caccamo e Deborah Iurato,M;F
Clementino,M
Rocco Hunt,M
Alessio Bernabei,M
Francesco Gabbani,M
Ermal Meta,M
Michele Bravi,M
Sergio Sylvestre,M
Elodie,F
Samuel,M
Lodovica Comello,F
Nesli & Alice Paba,M;F
Raige e Giulia Luzi,M;F
Ermal Meta e Fabrizio Moro,M;M
Lo Stato Sociale,M
Ornella Vanoni con Bungaro e Pacifico,F;M;M
Diodato e Roy Paci,M;M
The Kolors,M
Giovanni Caccamo,M
Enzo Avitabile con Peppe Servillo,M;M
Red Canzian,M
Roby Facchinetti e Riccardo Fogli,M;M
Mario Biondi,M
Mahmood,M
Ultimo,M
Irama,M
Achille Lauro,M
Enrico Nigiotti,M
Boomdabash,M
Ghemon,M
Ex-Otago,M
Motta,M
The Zen Circus,M
Federica Carta e Shade,F;M
Patty Pravo con Briga,F;M
Einar,M
Nino D'Angelo e Livio Cori,M;M
Diodato,M
Pinguini Tattici Nucleari,M
Piero Pelù,M
Rancore,M
Levante,F
Anastasio,M
Alberto Urso,M
Paolo Jannacci,M
Giordana Angi,F
Elettra Lamborghini,F
Junior Cally,M
Riki,M
Bugo e Morgan,M;M
Måneskin,M
Francesca Michielin e Fedez,F;M
Colapesce Dimartino,M
Irama[20],M
Willie Peyote,M
Madame,F
La Rappresentante di Lista,F
Extraliscio feat. Davide Toffolo,M;M
Fulminacci,M
Fasma,M
Gaia,F
Coma_Cose,M
Gio Evan,M
Bugo,M
Aiello,M
Random,M
Mahmood e Blanco,M;M
Sangiovanni,M
Dargen D'Amico,M
Matteo Romano,M
AKA 7even,M
Achille Lauro con Harlem Gospel Choir,M;M
Ditonellapiaga e Rettore,F;F
Rkomi,M
Giovanni Truppi,M
Highsnob e Hu,M;M
Yuman,M
Ana Mena,F
Tananai,M
Lazza,M
Mr. Rain,M
Rosa Chemical,M
Ariete,F
LDA,M
Articolo 31,M
Leo Gassmann,M
Mara Sattei,F
Colla Zio,M
Cugini di Campagna,M
Gianmaria,M
Olly,M
Will,M
Shari,F
Sethu,M
