Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos
11º,Gianni Nazzaro - Marisa Sannia,L'amore è una colomba,1970,G. Bigazzi e Totò Savio,G,"['amore', 'colomba']",11
12º,Fausto Leali - Carmen Villani,Hippy,1970,L. Beretta e F. Leali,G,['hippy'],12
13º,Tony Renis - Sergio Leonardi,Canzone blu,1970,"Mogol, A. Testa e E. Cesari",G,"['canzone', 'blu']",13
14º,Nino Ferrer - Caterina Caselli,Re di cuori,1970,"G. Bigazzi, C. Cavallaro e Totò Savio",G,"['re', 'cuori']",14
1º,Nada - Nicola Di Bari,Il cuore è uno zingaro,1971,F. Migliacci e C. Mattone,G,"['cuore', 'zingaro']",1
2º,Ricchi e Poveri - José Feliciano,Che sarà,1971,"F. Migliacci, C. Pes e J. Fontana",G,['sarà'],2
3º,Lucio Dalla - Equipe 84,4 marzo 1943,1971,L. Dalla e P. Pallottino,G,"['4', 'marzo', '1943']",3
4º,Donatello - Marisa Sannia,Com'è dolce la sera,1971,L. Albertelli e E. Riccardi,G,"['com', 'dolce', 'sera']",4
5º,Adriano Celentano - Coro Alpino Milanese,Sotto le lenzuola,1971,"L. Beretta, M. Del Prete e A. Celentano",G,"['sotto', 'lenzuola']",5
6º,Domenico Modugno - Carmen Villani,Come stai?,1971,R. Pazzaglia e D. Modugno,G,['stai'],6
7º,Don Backy - Gianni Nazzaro,Bianchi cristalli sereni,1971,A. Caponi,G,"['bianchi', 'cristalli', 'sereni']",7
8º,Al Bano - Aguaviva,"13, storia d'oggi",1971,V. Pallavicini e A. Carrisi,G,"['13', 'storia', 'oggi']",8
9º,Gigliola Cinquetti - Ray Conniff,Rose nel buio,1971,"L. Pilat, M. Panzeri e D. Pace",G,"['rose', 'buio']",9
10º,Caterina Caselli - Dik Dik,Ninna nanna (Cuore mio),1971,L. Albertelli e E. Riccardi,G,"['ninna', 'nanna', 'cuore']",10
11º,Pino Donaggio - Peppino Di Capri,L'ultimo romantico,1971,V. Pallavicini e P. Donaggio,G,"['ultimo', 'romantico']",11
12º,Little Tony - Formula 3,La folle corsa,1971,Mogol e C. Donida,G,"['folle', 'corsa']",12
13º,Sergio Endrigo - New Trolls,Una storia,1971,S. Endrigo,G,['storia'],13
14º,Sergio Menegale - Wallace Collection,Il sorriso il paradiso,1971,S. Menegale e G. D'Errico,G,"['sorriso', 'paradiso']",14
1º,Nicola Di Bari,I giorni dell'arcobaleno,1972,"M. Scommegna, D. Masini, P. Pintucci",M,"['giorni', 'dell', 'arcobaleno']",1
2º,Peppino Gagliardi,Come le viole,1972,P. Gagliardi e G. Amendola,M,['viole'],2
3º,Nada,Il re di denari,1972,C. Mattone e F. Migliacci,F,"['re', 'denari']",3
4º,Gianni Morandi,Vado a lavorare,1972,"F. Migliacci, Petaluma, M. Marrocchi e V. Tariciotti",M,"['vado', 'lavorare']",4
5º,Gianni Nazzaro,Non voglio innamorarmi mai,1972,M. Signorini e G. Bigazzi,M,['innamorarmi'],5
6º,Delirium,Jesahel,1972,O. Prudente e I. Fossati,G,['jesahel'],6
7º,Marcella Bella,Montagne verdi,1972,G. Bigazzi e G. Bella,F,"['montagne', 'verdi']",7
8º,Lucio Dalla,Piazza Grande,1972,"L. Dalla, R. Cellamare, G. Baldazzi e S. Bardotti",M,['piazza'],8
9º,Gigliola Cinquetti,Gira l'amore (Caro bebè),1972,M. Panzeri e D. Pace,F,"['gira', 'amore', 'caro', 'bebè']",9
10º,Donatello,Ti voglio,1972,R. Sanna e D.L. Pieretti,M,[],10
11º,Ricchi e Poveri,Un diadema di ciliegie,1972,R. Bertola,G,"['diadema', 'ciliegie']",11
12º,Milva,Mediterraneo,1972,L. Albertelli e E. Riccardi,F,['mediterraneo'],12
13º,Lara Saint Paul,Se non fosse fra queste mie braccia lo inventerei,1972,E. Suligoj e L. Beretta,F,"['fosse', 'braccia', 'inventerei']",13
14º,Domenico Modugno,Un calcio alla città,1972,"D. Modugno, M. Castellacci e R. Pazzaglia",M,"['calcio', 'città']",14
1º,Peppino Di Capri,Un grande amore e niente più,1973,"F. Califano, G. Wright, G. Faiella, C. Mattone",M,['amore'],1
2º,Peppino Gagliardi,Come un ragazzino,1973,"G. Amendola, P. Gagliardi",M,['ragazzino'],2
3º,Milva,Da troppo tempo,1973,"L. Albertelli, G. Colonnello",F,"['troppo', 'tempo']",3
4º,Ricchi e Poveri,Dolce frutto,1973,C. Minellono e U. Balsamo,G,"['dolce', 'frutto']",4
5º,Gilda Giuliani,Serena,1973,V. Pallavicini e G. Mescoli,F,['serena'],5
6º,Wess e Dori Ghezzi,Tu nella mia vita,1973,"Lubiak, F. Monti Arduini",G,['vita'],6
7º,Roberto Vecchioni,L'uomo che si gioca il cielo a dadi,1973,R. Vecchioni,M,"['uomo', 'gioca', 'cielo', 'dadi']",7
8º,Fausto Leali,La bandiera di sole,1973,V. Pallavicini e F. Leali,M,"['bandiera', 'sole']",8
9º,Umberto Balsamo,Amore mio,1973,"C. Minellono, U. Balsamo",M,['amore'],9
10º,Anna Identici,Mi son chiesta tante volte,1973,P. P. Preti e G. Guarneri,F,"['son', 'chiesta', 'tante', 'volte']",10
11º,Camaleonti,Come sei bella,1973,G. Bigazzi e C. Cavallaro,G,[],11
12º,Donatello,Tu giovane amore mio,1973,"G. Pieretti, F. Monachesi, R. Gianco e A. Nicorelli",M,"['giovane', 'amore']",12
13º,Memo Remigi,Il mondo è qui,1973,M. Remigi,M,['mondo'],13
14º,Alessandro,Tre minuti di ricordi,1973,M. Del Prete e A. Pintus,M,"['tre', 'minuti', 'ricordi']",14
15º,Lionello,Straniera straniera,1973,F. Specchia e F. Chiaravalle,M,"['straniera', 'straniera']",15
16º,Lara Saint Paul,Una casa grande,1973,"A. Lo Vecchio, N. Aprile e N. Villa",F,['casa'],16
1º,Iva Zanicchi,Ciao cara come stai?,1974,"C. Malgioglio, C. Daiano, Dinaro e I. Ianne",F,"['cara', 'stai']",1
2º,Domenico Modugno,Questa è la mia vita,1974,"L. Beretta, D. Modugno e E. Suligoj",M,['vita'],2
3º,Orietta Berti,Occhi rossi,1974,"D. Pace, C. Conti, L. Pilat e M. Panzeri",F,"['occhi', 'rossi']",3
1,Gilda,Ragazza del sud,1975,R. Scalabrino,F,"['ragazza', 'sud']",1
2,Angela Luce,Ipocrisia,1975,P. Giordano e E. Alfieri,F,['ipocrisia'],2
2,Rosanna Fratello,Va' speranza va',1975,G. Taddei e F. Graniero,F,"['va', 'speranza', 'va']",2
4,Valentina Greco,Un grande addio,1975,"G. Puzzo, B. Moglia, P. Limiti, E. Capotosti e M. C. Lacamera",F,['addio'],4
5,Laura,E poi e poi,1975,N. La Mantia,F,"['poi', 'poi']",5
6,Franco e le Piccole Donne,Come Humphrey Bogart,1975,L. Raggi e B. Pallini,G,"['humphrey', 'bogart']",6
1º,Peppino Di Capri,Non lo faccio più,1976,"Depsa, S. Iodice e F. Berlincioni",M,['faccio'],1
2º,Wess e Dori Ghezzi,"Come stai, con chi sei",1976,"C. Minellono, F. Piccarreda e U. Balsamo",G,['stai'],2
3º (ex aequo),Sandro Giacobbe,Gli occhi di tua madre,1976,"S. Giacobbe, D. Pace e O. Avogadro",M,"['occhi', 'madre']",3
3º (ex aequo),Albatros,Volo AZ 504,1976,V. Pallavicini e T. Cutugno,G,"['volo', 'az', '504']",3
5º,Paolo Frescura,Due anelli,1976,A. De Sanctis e P. Frescura,M,['anelli'],5
6º,Drupi,Sambariò,1976,L. Albertelli e E. Riccardi,M,['sambariò'],6
7º,Carlo Gigli,Più forte,1976,Schiava e C. Gigli,M,['forte'],7
8º,Daniel Sentacruz Ensemble,Linda bella Linda,1976,"C. Dammicco, Querencio, Sentacruz e F. Specchia",G,"['linda', 'linda']",8
9º,Gli Opera,L'ho persa ancora,1976,"F. Ricciardi, O. Avogadro e D. Pace",G,"['persa', 'ancora']",9
10º,Camaleonti,Cuore di vetro,1976,G. Bigazzi e T. Savio,G,"['cuore', 'vetro']",10
11º,Orietta Berti,Omar,1976,M. Battaini e L. Beretta,F,['omar'],11
12º,La Strana Società,Andiamo via,1976,"C. Conti, F. Cassano e L. Albertelli",G,"['andiamo', 'via']",12
13º,Ricchi e Poveri con I Nostri Figli,Due storie dei musicanti,1976,L. Bacalov e S. Bardotti,G,"['storie', 'musicanti']",13
14º,Patrizio Sandrelli,Piccola donna addio,1976,V. Stavolo e F. Zulian,M,"['piccola', 'donna', 'addio']",14
15º (ex aequo),Sergio Endrigo,Quando c'era il mare,1976,S. Endrigo,M,"['c', 'era', 'mare']",15
15º (ex aequo),Miko,Signora tu,1976,G. Pegoraro e P. M. Bozzetti,M,['signora'],15
17º,Profeti,Cercati un'anima,1976,"D. Ciletti, C. Cavallaro, D. Pace e O. Avogadro",G,"['cercati', 'anima']",17
18º,La Nuova Gente,Che sarei,1976,P. Landro e E. Cardullo,G,['sarei'],18
1º,Homo Sapiens,Bella da morire,1977,R. Pareti e A. Salerno,G,['morire'],1
2º,Collage,Tu mi rubi l'anima,1977,G. Padovan e A. De Sanctis,G,"['rubi', 'anima']",2
3º,I Santo California,Monica,1977,"P. Pinna, G. Simonelli e E. Palumbo",G,['monica'],3
1º,Matia Bazar,...e dirsi ciao,1978,"G. Golzi, A. Stellita, P. Cassano, C. Marrale e A. Ruggiero",G,['dirsi'],1
2º,Anna Oxa,Un'emozione da poco,1978,I. Fossati e G. Guglielminetti,F,"['emozione', 'poco']",2
3º,Rino Gaetano,Gianna,1978,R. Gaetano,M,['gianna'],3
4º,Ciro Sebastianelli,Il buio e tu,1978,"C. Sebastianelli, D. Pace e O. Avogadro",M,['buio'],4
5º,Anselmo Genovese,Tu sola,1978,A. Genovese e L. Capello,M,['sola'],5
6º,Santino Rocchetti,Armonia e poesia,1978,S. Rocchetti e A. Lo Vecchio,M,"['armonia', 'poesia']",6
7º,Schola Cantorum,Il mio amore,1978,M. Luberti e E. Fusco,G,['amore'],7
8º,Laura Luca,Domani domani,1978,G. Pieretti e A. Nicorelli,F,"['domani', 'domani']",8
9º,Daniel Sentacruz Ensemble,1/2 notte,1978,"Zacar, S. Grieco, C. Dammicco e Sentacruz",G,"['1', '2', 'notte']",9
1º,Mino Vergnaghi,Amare,1979,P. Finà e S. Ortone,M,['amare'],1
2º,Enzo Carella,Barbara,1979,E. Carella e P. Panella,M,['barbara'],2
3º,I Camaleonti,Quell'attimo in più,1979,"M. Lavezzi, O. Avogadro e D. Pace",G,"['quell', 'attimo']",3
4º,Collage,La gente parla,1979,"A. De Sanctis, S. Di Nardo e M. Marrocchi",G,"['gente', 'parla']",4
5º,Enrico Beruschi,Sarà un fiore,1979,"D. Pace, C. Conti e M. Panzeri",M,"['sarà', 'fiore']",5
6º,Franco Fanigliulo,A me mi piace vivere alla grande,1979,"O. Avogadro, R. Borghetti, F. Fanigliulo e D. Pace",M,"['piace', 'vivere']",6
7º,Lorella Pescerelli,New York,1979,F. Migliacci e F. Paulin,F,"['new', 'york']",7
8º,Kim & The Cadillacs,C'era un'atmosfera,1979,A. Stellita e P. Cassano,G,"['c', 'era', 'atmosfera']",8
9º,Umberto Napolitano,Bimba mia,1979,U. Napolitano,M,['bimba'],9
10º,Pandemonium,Tu fai schifo sempre,1979,"A. Giordano, M. Paulicelli e G. Mauro",G,"['fai', 'schifo', 'sempre']",10
11º,Antoine,Nocciolino,1979,M. Piccoli,M,['nocciolino'],11
12º,Grimm,Liana,1979,L. Lazzarini,G,['liana'],12
1º,Toto Cutugno,Solo noi,1980,S. Cutugno,M,[],1
2º,Enzo Malepasso,Ti voglio bene,1980,Depsa e E. Malepasso,M,['bene'],2
3º,Pupo,Su di noi,1980,"P. Barabani, D. Milani e E. Ghinazzi",M,[],3
1º,Alice,Per Elisa,1981,"C. Bissi, F. Battiato e G. Pio",F,['elisa'],1
2º,Loretta Goggi,Maledetta primavera,1981,P. A. Cassella e T. Savio,F,"['maledetta', 'primavera']",2
3º,Dario Baldan Bembo,Tu cosa fai stasera?,1981,P. A. Cassella e D. Baldan Bembo,M,"['fai', 'stasera']",3
4º,Luca Barbarossa,Roma spogliata,1981,L. Barbarossa,M,"['roma', 'spogliata']",4
5º,Ricchi e Poveri,Sarà perché ti amo,1981,"E. Ghinazzi, D. Pace e D. Farina",G,"['sarà', 'perché', 'amo']",5
6º,Paolo Barabani,Hop hop somarello,1981,"P. Barabani, E. Ghinazzi e G. P. Reverberi",M,"['hop', 'hop', 'somarello']",6
7º,Marinella,Ma chi te lo fa fare,1981,V. Pallavicini e G. P. Felisatti,F,"['fa', 'fare']",7
8º,Michele Zarrillo,Su quel pianeta libero,1981,"M. Zarrillo, A. Rosario e P. A. Cassella",M,"['quel', 'pianeta', 'libero']",8
9º,Marcella,Pensa per te,1981,G. Bigazzi e G. Bella,F,['pensa'],9
10º,Passengers,Midnight,1981,G. Arena e A. Piccareta,G,['midnight'],10
1º,Riccardo Fogli,Storie di tutti i giorni,1982,"R. Fogli, G. Morra e M. Fabrizio",M,"['storie', 'giorni']",1
2º,Al Bano e Romina Power,Felicità,1982,"C. Minellono, G. De Stefani e D. Farina",G,['felicità'],2
3º,Drupi,Soli,1982,"G. Anelli, G. Belleno e V. De Scalzi",M,['soli'],3
4º,Giuseppe Cionfoli,Solo grazie,1982,G. Cionfoli,M,['grazie'],4
5º,Christian,Un'altra vita un altro amore,1982,M. Balducci,M,"['vita', 'amore']",5
6°,Jimmy Fontana,Beguine,1982,"F. Migliacci, E. Sbriccoli, L. Greco e L. Pellegrino",M,['beguine'],6
1º,Tiziana Rivale,Sarà quel che sarà,1983,R. Ferri e M. Fabrizio,F,"['sarà', 'quel', 'sarà']",1
2º,Donatella Milani,Volevo dirti,1983,"D. Milani, D. Pace e A. Fornaciari",F,"['volevo', 'dirti']",2
3º,Dori Ghezzi,Margherita non lo sa,1983,O. Prudente e O. Avogadro,F,"['margherita', 'sa']",3
4º,Matia Bazar,Vacanze romane,1983,C. Marrale e G. Golzi,G,"['vacanze', 'romane']",4
5º,Toto Cutugno,L'italiano,1983,C. Minellono e T. Cutugno,M,['italiano'],5
6º,Fiordaliso,Oramai,1983,"C. Daiano, A. Valsiglio e Depsa",F,['oramai'],6
7º,Stefano Sani,Complimenti,1983,L. Albertelli e A. Fornaciari,M,['complimenti'],7
8º,Gianni Morandi,La mia nemica amatissima,1983,"Mogol, G. Bella e G. Morandi",M,"['nemica', 'amatissima']",8
9º,Amii Stewart,Working Late Tonight,1983,"M. Capuano, G. Capuano e S. Boswell",F,"['working', 'late', 'tonight']",9
10º,Marco Armani,È la vita,1983,M. Armani e P. Armenise,M,['vita'],10
11º,Giuseppe Cionfoli,Shalom,1983,G. Cionfoli,M,['shalom'],11
12º,Giorgia Fiorio,Avrò,1983,"S. Menegale, R. Ferrato e P. Soffici",F,['avrò'],12
13º,Flavia Fortunato,Casco blu,1983,"M. Di Carlo, P. Masala, E. Palumbo e M. Ramoino",F,"['casco', 'blu']",13
14º,Bertín Osborne,Eterna malattia,1983,E. Malepasso e L. Albertelli,M,"['eterna', 'malattia']",14
15º,Riccardo Azzurri,Amare te,1983,R. Azzurri,M,['amare'],15
16º,Sandro Giacobbe,Primavera,1983,S. Giacobbe e L. Albertelli,M,['primavera'],16
17º,Christian,Abbracciami amore mio,1983,M. Balducci,M,"['abbracciami', 'amore']",17
18º,Marco Ferradini,Una catastrofe bionda,1983,"R. Giuliani, M. Ferradini e Cheope",M,"['catastrofe', 'bionda']",18
19º,Richard Sanderson,Stiamo insieme,1983,A. Fornaciari,M,"['stiamo', 'insieme']",19
20º,Zucchero,Nuvola,1983,A. Fornaciari,M,['nuvola'],20
21º,Gianni Nazzaro,Mi sono innamorato di mia moglie,1983,D. Pace e M. Russo,M,"['innamorato', 'moglie']",21
22º,Barbara Boncompagni,Notte e giorno,1983,D. Pace e A. Valsiglio,F,"['notte', 'giorno']",22
23º,Passengers,Movie Star,1983,C. Valli e A. Piccarreda,G,"['movie', 'star']",23
24º,Viola Valentino,Arriva arriva,1983,M. Fabrizio e V. Spampinato,F,"['arriva', 'arriva']",24
25º,Vasco Rossi,Vita spericolata,1983,V. Rossi e T. Ferro,M,"['vita', 'spericolata']",25
26º,Pupo,Cieli azzurri,1983,E. Ghinazzi e S. Saturnini,M,"['cieli', 'azzurri']",26
1º,Al Bano e Romina Power,Ci sarà,1984,C. Minellono e D. Farina,G,['sarà'],1
2º,Toto Cutugno,Serenata,1984,S. Cutugno e V. Pallavicini,M,['serenata'],2
3º,Christian,Cara,1984,M. Balducci,M,['cara'],3
4º,Pupo,Un amore grande,1984,"G. Savio, G. Bigazzi e U. Tozzi",M,['amore'],4
5º,Fiordaliso,Non voglio mica la luna,1984,"E. Malepasso, L. Albertelli e A. Fornaciari",F,['luna'],5
6º,Mario Castelnuovo,Nina,1984,M. Castelnuovo,M,['nina'],6
7º,Anna Oxa,Non scendo,1984,O. Avogadro e M. Lavezzi,F,['scendo'],7
8º,Drupi,Regalami un sorriso,1984,"A. Cogliati, G. Anelli e F. Fasano",M,"['regalami', 'sorriso']",8
9º,Iva Zanicchi,Chi (Mi darà),1984,U. Balsamo e C. Malgioglio,F,['darà'],9
10º,Patty Pravo,Per una bambola,1984,M. Monti,F,['bambola'],10
11º,Gruppo Italiano,Anni ruggenti,1984,"P. Di Malta, R. Riva, G. Folino e C. Santulli",G,"['anni', 'ruggenti']",11
12º,Bobby Solo,Ancora ti vorrei,1984,"R. Satti, Susuki e M. Mologni",M,"['ancora', 'vorrei']",12
13º,Donatella Milani,Libera,1984,"D. Milani, Filistrucchi e Putzolu",F,['libera'],13
14º,Fiorella Mannoia,Come si cambia,1984,M. Piccoli e R. Pareti,F,['cambia'],14
15º,Marisa Sannia,Amore amore,1984,D. Pace e C. Conti,F,"['amore', 'amore']",15
16º,Alberto Camerini,La bottega del caffè,1984,A. Camerini,M,"['bottega', 'caffè']",16
17º,Riccardo Del Turco,Serena alienazione,1984,Mogol e R. Del Turco,M,"['serena', 'alienazione']",17
18º,Garbo,Radioclima,1984,R. Abate,F,['radioclima'],18
19º,Enrico Ruggeri,Nuovo swing,1984,E. Ruggeri,M,"['nuovo', 'swing']",19
20º,Stadio,Allo stadio,1984,L. Carboni e G. Curreri,G,['stadio'],20
1º,Ricchi e Poveri,Se m'innamoro,1985,D. Farina e C. Minellono,G,"['m', 'innamoro']",1
2º,Luis Miguel,"Noi, ragazzi di oggi",1985,S. Cutugno e C. Minellono,M,"['ragazzi', 'oggi']",2
3º,Gigliola Cinquetti,Chiamalo amore,1985,D. Farina e P. A. Cassella,F,"['chiamalo', 'amore']",3
4º,Riccardo Fogli,Sulla buona strada,1985,M. Fabrizio e V. Spampinato,M,"['buona', 'strada']",4
5º,Christian,Notte serena,1985,M. Balducci,M,"['notte', 'serena']",5
6º,Eros Ramazzotti,Una storia importante,1985,"E. Ramazzotti, P. Cassano e A. Cogliati",M,"['storia', 'importante']",6
7º,Anna Oxa,A lei,1985,R. Vecchioni e M. Paoluzzi,F,[],7
8º,Fiordaliso,Il mio angelo,1985,L. Albertelli e E. Malepasso,F,['angelo'],8
9º,Peppino Di Capri,E mo' e mo',1985,"G. Faiella, S. De Pasquale e F. Fasano",M,"['mo', 'mo']",9
10º,Matia Bazar,Souvenir,1985,"A. Stellita, C. Marrale e S. Cossu",G,['souvenir'],10
11º,Marco Armani,Tu dimmi un cuore ce l'hai,1985,M. Armenise e P. Armenise,M,"['dimmi', 'cuore', 'ce', 'hai']",11
12º,Drupi,Fammi volare,1985,"S. Negroni, D. Dato e G. Anelli",M,"['fammi', 'volare']",12
13º,Franco Simone,Ritratto,1985,M. Colombo e F. Simone,M,['ritratto'],13
14º,Eduardo De Crescenzo,Via con me,1985,C. Mattone e D. Pace,M,['via'],14
15º,Banco del Mutuo Soccorso,Grande Joe,1985,F. Di Giacomo e V. Nocenzi,G,['joe'],15
16º,Dario Baldan Bembo,Da quando non ci sei,1985,D. Baldan Bembo e A. Maggio,M,[],16
17º,Ivan Graziani,Franca ti amo,1985,I. Graziani,M,"['franca', 'amo']",17
18º,Eugenio Finardi,Vorrei svegliarti,1985,E. Finardi e D. Madonia,M,"['vorrei', 'svegliarti']",18
19º,Mimmo Locasciulli,Buona fortuna,1985,M. Locasciulli,M,"['buona', 'fortuna']",19
20º,New Trolls,Faccia di cane,1985,"F. De André, R. Ferri, V. De Scalzi, G. Belleno, N. Di Palo e R. Belloni",G,"['faccia', 'cane']",20
21º,Zucchero Fornaciari & Randy Jackson Band,Donne,1985,A. Fornaciari e A. Salerno,G,['donne'],21
22º,Garbo,Cose veloci,1985,R. Abate,F,"['cose', 'veloci']",22
1º,Eros Ramazzotti,Adesso tu,1986,"E. Ramazzotti, P. Cassano e A. Cogliati",M,['adesso'],1
2º,Renzo Arbore,Il clarinetto,1986,C. Mattone e R. Arbore,M,['clarinetto'],2
3º,Marcella,Senza un briciolo di testa,1986,"G. Bella, Mogol e G. Westley",F,"['briciolo', 'testa']",3
4º,Toto Cutugno,Azzurra malinconia,1986,S. Cutugno,M,"['azzurra', 'malinconia']",4
5º,Anna Oxa,È tutto un attimo,1986,"A. Cogliati, F. Ciani, M. Lavezzi e U. Smaila",F,['attimo'],5
6º,Orietta Berti,Futuro,1986,U. Balsamo e L. Raggi,F,['futuro'],6
7º,Nino D'Angelo,Vai,1986,N. D'Angelo e A. Annona,M,['vai'],7
8º,Fred Bongusto,Cantare,1986,"S. Iodice, F. Bongusto e M. Di Francia",M,['cantare'],8
9º,Loredana Bertè,Re,1986,A. Mango e G. Mango,F,['re'],9
10º,Fiordaliso,Fatti miei,1986,"Z. Fornaciari, E. Malepasso e L. Albertelli",F,['fatti'],10
11º,Marco Armani,Uno sull'altro,1986,P. Armenise e M. Armenise,M,['sull'],11
12º,Sergio Endrigo,Canzone italiana,1986,C. Mattone e S. Endrigo,M,"['canzone', 'italiana']",12
13º,Rettore,Amore Stella,1986,G. Morra e M. Fabrizio,F,"['amore', 'stella']",13
14º,Mango,Lei verrà,1986,G. Mango e A. Salerno,M,['verrà'],14
15º,Righeira,Innamoratissimo (Tu che fai battere forte il mio cuore),1986,"S. Rota, S. Righi, La Bionda, S. Conforti e C. Minellono",G,"['innamoratissimo', 'fai', 'battere', 'forte', 'cuore']",15
16º,Scialpi,"No East, No West",1986,"G. Scialpi, Thoty e F. Migliacci",M,"['east', 'west']",16
17º,Enrico Ruggeri,Rien ne va plus,1986,E. Ruggeri,M,"['rien', 'va', 'plus']",17
18º,Luca Barbarossa,Via Margutta,1986,L. Barbarossa,M,"['via', 'margutta']",18
19º,Flavia Fortunato,Verso il 2000,1986,"A. De Sanctis, A. Cheli e E. Palumbo",F,"['verso', '2000']",19
20º,Rossana Casale,Brividi,1986,G. Morra e M. Fabrizio,F,['brividi'],20
21º,Zucchero Fornaciari,Canzone triste,1986,Z. Fornaciari,M,"['canzone', 'triste']",21
22º,Stadio,Canzoni alla radio,1986,"L. Carboni, G. Curreri e R. Portera",G,"['canzoni', 'radio']",22
1º,"Gianni Morandi, Enrico Ruggeri e Umberto Tozzi",Si può dare di più,1987,"G. Bigazzi, U. Tozzi e R. Riefoli",G,"['può', 'dare']",1
2º,Toto Cutugno,Figli,1987,S. Cutugno,M,['figli'],2
3º,Al Bano e Romina Power,Nostalgia canaglia,1987,"V. Pallavicini, W. Molco, A. Carrisi, R. Power e V. Mercurio",G,"['nostalgia', 'canaglia']",3
4º,Fausto Leali,Io amo,1987,"S. Cutugno, F. Leali, G. Fasano e I. Ianne",M,['amo'],4
5º,Peppino Di Capri,Il sognatore,1987,S. Cutugno e Depsa,M,['sognatore'],5
6º,Marcella,Tanti auguri,1987,G. Paoli e G. Bella,F,"['tanti', 'auguri']",6
7º,Ricchi e Poveri,Canzone d'amore,1987,"S. Cutugno, G. Rampazzo e D. Farina",G,"['canzone', 'amore']",7
8º,Fiorella Mannoia,Quello che le donne non dicono,1987,E. Ruggeri e L. Schiavone,F,"['donne', 'dicono']",8
9º,Luca Barbarossa,Come dentro un film,1987,L. Barbarossa,M,"['dentro', 'film']",9
10º,Christian,Aria e musica,1987,S. Amato e F. Morgia,M,"['aria', 'musica']",10
11º,Lena Biolcati,Vita mia,1987,S. D'Orazio e M. Tansini,F,['vita'],11
12º,Rossana Casale,Destino,1987,G. Morra e M. Fabrizio,F,['destino'],12
13º,Flavia Fortunato,Canto per te,1987,"E. Palumbo, A. de Sanctis e M. Banis",F,['canto'],13
14º,Dori Ghezzi,E non si finisce mai,1987,A. Cogliati e P. Cassano,F,['finisce'],14
15º,Eduardo De Crescenzo,L'odore del mare,1987,"G. Morra, E. De Crescenzo e M. Fabrizio",M,"['odore', 'mare']",15
16º,Scialpi,Bella età,1987,"F. Migliacci, G. Scialpi e R. Zaneli",M,['età'],16
17º,Le Orme,Dimmi che cos'è,1987,A. Tagliapietra,G,"['dimmi', 'cos']",17
18º,Mango,Dal cuore in poi,1987,"A. Salerno, A. Mango e G. Mango",M,"['cuore', 'poi']",18
19º,Tony Esposito,Sinuè,1987,"G. Di Franco, T. Esposito e R. Licastro",M,['sinuè'],19
20º,Patty Pravo,Pigramente signora,1987,M. Arnaboldi e F. Evangelisti,F,"['pigramente', 'signora']",20
21º,Sergio Caputo,Il Garibaldi innamorato,1987,S. Caputo,M,"['garibaldi', 'innamorato']",21
22º,Mario Castelnuovo,Madonna di Venere,1987,M. Castelnuovo,M,"['madonna', 'venere']",22
23º,Nino Buonocore,Rosanna,1987,N. Buonocore,M,['rosanna'],23
24º,Nada,Bolero,1987,G. Manzoli,F,['bolero'],24
1º,Massimo Ranieri,Perdere l'amore,1988,M. Marrocchi e G. Artegiani,M,"['perdere', 'amore']",1
2º,Toto Cutugno,Emozioni,1988,T. Cutugno,M,['emozioni'],2
3º,Luca Barbarossa,L'amore rubato,1988,L. Barbarossa,M,"['amore', 'rubato']",3
4º,Marcella,Dopo la tempesta,1988,A. Salerno e G. Bella,F,"['dopo', 'tempesta']",4
5º,Fausto Leali,Mi manchi,1988,F. Berlincioni e G. Fasano,M,['manchi'],5
6º,Mino Reitano,Italia,1988,U. Balsamo,M,['italia'],6
7º,Anna Oxa,Quando nasce un amore,1988,"A. Cogliati, F. Ciani e P. Cassano",F,"['nasce', 'amore']",7
8º,Fiordaliso con Claudio Cabrini,Per noi,1988,T. Cutugno,G,[],8
9º,Ricchi e Poveri,Nascerà Gesù,1988,U. Balsamo,G,"['nascerà', 'gesù']",9
10º,Fiorella Mannoia,Le notti di maggio,1988,I. Fossati,F,"['notti', 'maggio']",10
11º,Raf,Inevitabile follia,1988,G. Bigazzi e R. Riefoli,M,"['inevitabile', 'follia']",11
12º,Francesco Nuti,Sarà per te,1988,R. Mariotti,M,['sarà'],12
13º,Franco Califano,Io (Per le strade di quartiere),1988,F. Califano e T. Cutugno,M,"['strade', 'quartiere']",13
14º,Figli di Bubba,Nella valle dei Timbales,1988,M. Pagani,G,"['valle', 'timbales']",14
15º,Michele Zarrillo,Come un giorno di sole,1988,"G. Artegiani, M. Zarrillo e L. Lopez",M,"['giorno', 'sole']",15
16º,Loredana Bertè,Io,1988,T. Cicco,F,[],16
17º,Peppino di Capri,Nun chiagnere,1988,"L. Raggi, Depsa e G. Fasano",M,"['nun', 'chiagnere']",17
18º,Tullio De Piscopo,Andamento lento,1988,"T. De Piscopo, M. Capuano e G. Capuano",M,"['andamento', 'lento']",18
19º,Matia Bazar,La prima stella della sera,1988,"A. Stellita, S. Cossu e C. Marrale",G,"['prima', 'stella', 'sera']",19
20º,Drupi,Era bella davvero,1988,"O. Avogadro, P. Cassella e D. Farina",M,"['era', 'davvero']",20
21º,Ron,Il mondo avrà una grande anima,1988,R. Cellamare,M,"['mondo', 'avrà', 'anima']",21
