Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos
2º,Sergio Bruni - Milva,Tango italiano,1962,B. Pallesi e W. Malgoni,G,"['tango', 'italiano']",2
3º,Sergio Bruni - Ernesto Bonino,Gondolì gondolà,1962,Nisa e R. Carosone,G,"['gondolì', 'gondolà']",3
4º,Tony Renis - Emilio Pericoli,Quando quando quando,1962,A. Testa e T. Renis,G,[],4
5º,Milva - Miriam Del Mare,Stanotte al luna park,1962,"V. Pallavicini, Biri e C. A. Rossi",G,"['stanotte', 'luna', 'park']",5
6º,Gino Bramieri - Aurelio Fierro,Lui andava a cavallo,1962,N. Salerno e N. Ravasini,G,"['andava', 'cavallo']",6
7º,Arturo Testa - Jolanda Rossin,Un'anima leggera,1962,P. Rolla e F. Bergamini,G,"['anima', 'leggera']",7
8º,Joe Sentieri - Aurelio Fierro,Cipria di sole,1962,G. Marotta e S. Mazzocco,G,"['cipria', 'sole']",8
9º,Tonina Torrielli - Nelly Fioramonti,Aspettandoti,1962,S. Seracini e V. D'Acquisto,G,['aspettandoti'],9
10º,Johnny Dorelli - Betty Curtis,Buongiorno amore,1962,M. Panzeri e J. Dorelli,G,"['buongiorno', 'amore']",10
11º,Flo Sandon's - Mario D'Alba,Passa il tempo,1962,S. Taccani e U. Bertini,G,"['passa', 'tempo']",11
12º,Nunzio Gallo - Rocco Montana,Inventiamo la vita,1962,V. Mascheroni e G. C. Testoni,G,"['inventiamo', 'vita']",12
NF,Arturo Testa - Jolanda Rossin,Centomila volte,1962,S. Censi e De Bernardi,G,"['centomila', 'volte']",NF
NF,Silvia Guidi - Jenny Luna,Conta le stelle,1962,E. Di Paola e U. Bertini,G,"['conta', 'stelle']",NF
NF,Fausto Cigliano - Jenny Luna,Cose inutili,1962,G. Meccia e U. Tognazzi,G,"['cose', 'inutili']",NF
NF,Rossana - Gian Costello,Due cipressi,1962,"P. Pizzigoni, A. Camis e G. C. Testoni",G,['cipressi'],NF
NF,Wanda Romanelli - Nelly Fioramonti,Fiori sull'acqua,1962,G. Fallabrino e V. D'Acquisto,G,"['fiori', 'sull', 'acqua']",NF
NF,Wilma De Angelis - Tanya,I colori della felicità,1962,L. Ranzato e E. Sciorilli,G,"['colori', 'felicità']",NF
NF,Luciano Tajoli - Betty Curtis,Il cielo cammina,1962,"M. Ruccione, U. Bertini e P. Tombolato",G,"['cielo', 'cammina']",NF
NF,Gesy Sebena - Giacomo Rondinella,Il nostro amore,1962,Pinchi e V. Panzuti,G,['amore'],NF
NF,Gene Colonnello - Gloria Christian,Innamorati,1962,G. D'Anzi e M. Panzeri,G,['innamorati'],NF
NF,Corrado Lojacono - Luciano Tajoli,L'anellino,1962,C. Lojacono e N. Salerno,G,['anellino'],NF
NF,Johnny Dorelli - Gloria Christian,L'ombrellone,1962,P. Calvi e L. Chiosso,G,['ombrellone'],NF
NF,Nunzio Gallo - Bruna Lelli,L'ultimo pezzo di terra,1962,"M. Zanfagna, G. Conte, N. Gallo e A. Forte",G,"['ultimo', 'pezzo', 'terra']",NF
NF,Wilma De Angelis - Lucia Altieri,Lumicini rossi,1962,F. Fabor e G. C. Testoni,G,"['lumicini', 'rossi']",NF
NF,Pierfilippi - Cocky Mazzetti,Occhi senza lacrime,1962,E. Macchi e A. A. Roelens,G,"['occhi', 'lacrime']",NF
NF,Gino Bramieri - Rocco Torrebruno,Pesca tu che pesco anch'io,1962,Di Lazzaro e B. Cherubini,G,"['pesca', 'pesco', 'anch']",NF
NF,Flo Sandon's - Edda Montanari,Prima del paradiso,1962,R. Vantellini e Pinchi,G,"['prima', 'paradiso']",NF
NF,Aura D'Angelo - Claudio Villa,Quando il vento d'aprile,1962,S. Palomba e A. Vian,G,"['vento', 'aprile']",NF
NF,Cocky Mazzetti - Joe Sentieri,Tobia,1962,"C. Donida, Mogol e A. Testa",G,['tobia'],NF
NF,Mario Abbate - Fausto Cigliano,Vestita di rosso,1962,"A. Testa, R. Cozzoli e G. Compare",G,"['vestita', 'rosso']",NF
NF,Narciso Parigi - Giorgio Consolini,Vita,1962,B. Cherubini e C. Concina,G,['vita'],NF
1º,Tony Renis - Emilio Pericoli,Uno per tutte,1963,"Mogol, A. Testa e T. Renis",G,[],1
2º,Claudio Villa - Eugenia Foligatti,Amor mon amour my love,1963,"W. Malgoni, Pinchi e B. Pallesi",G,"['amor', 'mon', 'amour', 'my', 'love']",2
3º,Pino Donaggio - Cocky Mazzetti,Giovane giovane,1963,P. Donaggio e A. Testa,G,"['giovane', 'giovane']",3
4º,Wilma De Angelis - Johnny Dorelli,Non costa niente,1963,"G. Calabrese, D. Calcagno e E. Sciorilli",G,['costa'],4
5º,Milva - Luciano Tajoli,Ricorda,1963,C. Donida e Mogol,G,['ricorda'],5
6º,Tonina Torrielli - Eugenia Foligatti,Perdonarsi in due,1963,G. D'Anzi e Pinchi,G,['perdonarsi'],6
7º,Aurelio Fierro - Claudio Villa,Occhi neri e cielo blu,1963,M. Panzeri e D. Pace,G,"['occhi', 'neri', 'cielo', 'blu']",7
8º,Emilio Pericoli - Sergio Bruni,Sull'acqua,1963,M. Pagano e F. Maresca,G,"['sull', 'acqua']",8
9º,Aura D'Angelo - Arturo Testa,Tu venisti dal mare,1963,F. Rendine e A. Pugliese,G,"['venisti', 'mare']",9
10º,Milva - Gianni Lacommare,Non sapevo,1963,P. Calvi e B. Pallesi,G,['sapevo'],10
NF,Gianni Lacommare - Tonina Torrielli,Com'è piccolo il cielo,1963,Signori e Garavaglia,G,"['com', 'piccolo', 'cielo']",NF
NF,Joe Sentieri - Johnny Dorelli,Fermate il mondo,1963,B. Canfora e D. Verde,G,"['fermate', 'mondo']",NF
NF,Ennio Sangiusto - Quartetto Radar,La ballata del pedone,1963,Pierantoni,G,"['ballata', 'pedone']",NF
NF,Ennio Sangiusto - Luciano Tajoli,Le voci,1963,G. Fallabrino e Medici,G,['voci'],NF
NF,Mario Abbate - Quartetto Radar,Oggi non ho tempo,1963,C. Lojacono e N. Salerno,G,"['oggi', 'tempo']",NF
NF,Tony Renis - Cocky Mazzetti,Perché perché,1963,G. Cichellero,G,"['perché', 'perché']",NF
NF,Arturo Testa - Joe Sentieri,Quando ci si vuol bene... (Come noi),1963,"E. Isola, B. Zambrini e G. Calabrese",G,"['vuol', 'bene']",NF
NF,Wilma De Angelis - Flo Sandon's,Se passerai di qui,1963,G. C. Testoni e A. Camis,G,['passerai'],NF
NF,Aurelio Fierro - Sergio Bruni,Un cappotto rivoltato,1963,O. Leuzzi e F. Specchia,G,"['cappotto', 'rivoltato']",NF
NF,Mario Abbate - Flo Sandon's,Vorrei fermare il tempo,1963,G. Redi e Franchini,G,"['vorrei', 'fermare', 'tempo']",NF
1º,Gigliola Cinquetti - Patricia Carli,Non ho l'età (Per amarti),1964,"M. Panzeri, Nisa, G. Colonnello",G,"['età', 'amarti']",1
2º (pari merito),Domenico Modugno - Frankie Laine,Che me ne importa a me,1964,D. Modugno,G,['importa'],2
2º (pari merito),Tony Dallara - Ben E. King,Come potrei dimenticarti,1964,V. Pallavicini e E. Leoni,G,"['potrei', 'dimenticarti']",2
2º (pari merito),Gino Paoli - Antonio Prieto,Ieri ho incontrato mia madre,1964,G. Paoli,G,"['ieri', 'incontrato', 'madre']",2
2º (pari merito),Fabrizio Ferretti - Gil Fields e The Fraternity Brothers,La prima che incontro,1964,V. Pallavicini e G. Kramer,G,"['prima', 'incontro']",2
2º (pari merito),Pino Donaggio - Frankie Avalon,Motivo d'amore,1964,P. Donaggio,G,"['motivo', 'amore']",2
2º (pari merito),Roby Ferrante - Paul Anka,Ogni Volta,1964,C. Rossi e R. Ferrante,G,"['ogni', 'volta']",2
2º (pari merito),Little Tony - Gene Pitney,Quando vedrai la mia ragazza,1964,C. Rossi e E. Ciacci,G,"['vedrai', 'ragazza']",2
2º (pari merito),Bruno Filippini - Gil Fields e The Fraternity Brothers,Sabato sera,1964,B. Pallesi e W. Malgoni,G,"['sabato', 'sera']",2
2º (pari merito),Remo Germani - Nino Tempo e April Stevens,Stasera no no no,1964,V. Pallavicini e E. Roncarati,G,['stasera'],2
2º (pari merito),Robertino - Bobby Rydell,Un bacio piccolissimo,1964,G. Ornati e G. Mescoli,G,"['bacio', 'piccolissimo']",2
2º (pari merito),Bobby Solo - Frankie Laine,Una lacrima sul viso,1964,Mogol e B. Solo,G,"['lacrima', 'viso']",2
NF,Giorgio Gaber - Patricia Carli,Così felice,1964,G. Gaber,G,['felice'],NF
NF,Fausto Cigliano - Gene Pitney,E se domani,1964,G. Calabrese e C. A. Rossi,G,['domani'],NF
NF,Tony Renis - Frankie Avalon,I sorrisi di sera,1964,"Mogol, A. Testa e T. Renis",G,"['sorrisi', 'sera']",NF
NF,Piero Focaccia - Bobby Rydell,L'inverno cosa fai?,1964,N. Salerno e G. Colonnello,G,"['inverno', 'fai']",NF
NF,Milva - Frida Boccara,L'ultimo tram,1964,G. Calabrese e E. Sciorilli,G,"['ultimo', 'tram']",NF
NF,Cocky Mazzetti - Los Hermanos Rigual,Mezzanotte,1964,C. Rossi e A. Rotunno,G,['mezzanotte'],NF
NF,Claudio Villa - Peggy March,Passo su passo,1964,F. Migliacci e U. Bindi,G,"['passo', 'passo']",NF
NF,Emilio Pericoli - Peter Kraus,Piccolo piccolo,1964,A. Amurri e L. Luttazzi,G,"['piccolo', 'piccolo']",NF
NF,Aurelio Fierro - Marina Moran,Sole pizza e amore,1964,T. Giacobetti e A. V. Savona,G,"['sole', 'pizza', 'amore']",NF
NF,Laura Villa - Los Hermanos Rigual,Sole sole,1964,L. Zanin e A. Casadei,G,"['sole', 'sole']",NF
NF,Lilly Bonato - Richard Moser jr.,Tu piangi per niente,1964,V. Pallavicini e P. Soffici,G,['piangi'],NF
NF,Nicola Arigliano - Peter Kraus,Venti chilometri al giorno,1964,Mogol e P. Massara,G,"['venti', 'chilometri', 'giorno']",NF
1º,Bobby Solo - The New Christy Minstrels,"Se piangi, se ridi",1965,"Mogol, G. Marchetti, R. Satti",G,"['piangi', 'ridi']",1
2º (pari merito),Ornella Vanoni - Udo Jürgens,Abbracciami forte,1965,Mogol e C. Donida,G,"['abbracciami', 'forte']",2
2º (pari merito),Nicola Di Bari - Gene Pitney,Amici miei,1965,V. Pallavicini e G. Colonnello,G,['amici'],2
2º (pari merito),Fred Bongusto - Kiki Dee,Aspetta domani,1965,V. Pallavicini e F. Bongusto,G,"['aspetta', 'domani']",2
2º (pari merito),Gigliola Cinquetti - Connie Francis,Ho bisogno di vederti,1965,P. Ciampi e R. Ciampi,G,"['bisogno', 'vederti']",2
2º (pari merito),Betty Curtis - Petula Clark,Invece no,1965,V. Pallavicini e E. Leoni,G,['invece'],2
2º (pari merito),Pino Donaggio - Jody Miller,Io che non vivo (senza te),1965,V. Pallavicini e P. Donaggio,G,['vivo'],2
2º (pari merito),Bruno Filippini - Yukari Ito,L'amore ha i tuoi occhi,1965,V. Pallavicini e G. Kramer,G,"['amore', 'ha', 'occhi']",2
2º (pari merito),Wilma Goich - The New Christy Minstrels,Le colline sono in fiore,1965,"Mogol, Calibi, C. Donida e R. Angiolini",G,"['colline', 'fiore']",2
2º (pari merito),Remo Germani e Le Amiche - Audrey,Prima o poi,1965,"V. Pallavicini, A. Amurri e G. Ferrari",G,"['prima', 'poi']",2
2º (pari merito),Vittorio Inzaina - Les Surfs,Si vedrà,1965,A. Gentile e C. Lentini,G,['vedrà'],2
2º (pari merito),Milva - Bernd Spier,Vieni con noi,1965,F. Maresca e M. Pagano,G,['vieni'],2
NF,John Foster - Joe Damiano,Cominciamo ad amarci,1965,V. Pallavicini e G. Mescoli,G,"['cominciamo', 'ad', 'amarci']",NF
NF,Ricky Gianco - Jody Miller,Devi essere tu,1965,V. D'Acquisto e R. Gianco,G,"['devi', 'essere']",NF
NF,Gianni Mascolo - Dusty Springfield,Di fronte all'amore,1965,S. Simoni e U. Bindi,G,"['fronte', 'all', 'amore']",NF
NF,Don Miko - Timi Yuro,E poi verrà l'autunno,1965,"A. Amurri, F. Pisano e A. Bascerano",G,"['poi', 'verrà', 'autunno']",NF
NF,Iva Zanicchi - Gene Pitney,I tuoi anni più belli,1965,"Mogol, M. Gaspari e E. Polito",G,"['anni', 'belli']",NF
NF,Bruno Lauzi - Kenny Rankin,Il tuo amore,1965,B. Lauzi,G,['amore'],NF
NF,Giordano Colombo - Hoagy Lands,Io non volevo,1965,R. Leva e G. P. Reverberi,G,['volevo'],NF
NF,Beppe Cardile - Anita Harris,L'amore è partito,1965,B. Cardile,G,"['amore', 'partito']",NF
NF,Robertino - Danyel Gérard,Mia cara,1965,Mogol e P. Massara,G,['cara'],NF
NF,Franco Tozzi - Johnny Tillotson,Non a caso il destino (Ci ha fatto incontrare),1965,Antartide e C. A. Rossi,G,"['caso', 'destino', 'ha', 'fatto', 'incontrare']",NF
NF,Peppino Gagliardi - Timi Yuro,Ti credo,1965,G. Amendola e P. Gagliardi,G,['credo'],NF
NF,Fabrizio Ferretti - Dusty Springfield,Tu che ne sai?,1965,A. Amurri e F. Pisano,G,['sai'],NF
1º,Domenico Modugno - Gigliola Cinquetti,"Dio, come ti amo",1966,D. Modugno,G,"['dio', 'amo']",1
2º,Caterina Caselli - Gene Pitney,Nessuno mi può giudicare,1966,"D. Pace, M. Panzeri, L. Beretta e M. Del Prete",G,"['può', 'giudicare']",2
3º,Wilma Goich - Les Surfs,In un fiore,1966,C. Donida e Mogol,G,['fiore'],3
4º,Pino Donaggio - Claudio Villa,Una casa in cima al mondo,1966,P. Donaggio e V. Pallavicini,G,"['casa', 'cima', 'mondo']",4
5º,Anna Identici - The New Christy Minstrels,Una rosa da Vienna,1966,G. Guarnieri e B. Lauzi,G,"['rosa', 'vienna']",5
6º (ex aequo),Orietta Berti - Ornella Vanoni,Io ti darò di più,1966,M. Remigi e A. Testa,G,['darò'],6
6º (ex aequo),Giorgio Gaber - Pat Boone,Mai mai mai Valentina,1966,G. Colonnello e A. Testa,G,['valentina'],6
8º,Edoardo Vianello - Françoise Hardy,Parlami di te,1966,E. Vianello e V. Pallavicini,G,['parlami'],8
9º (ex aequo),Sergio Endrigo - Chad & Jeremy,Adesso sì,1966,S. Endrigo,G,"['adesso', 'sì']",9
9º (ex aequo),Milva - Richard Anthony,Nessuno di voi,1966,G. Kramer e V. Pallavicini,G,[],9
9º (ex aequo),Peppino Gagliardi - Pat Boone,Se tu non fossi qui,1966,C. A. Rossi e M. Terzi,G,['fossi'],9
12º,Remo Germani - Les Surfs,Così come viene,1966,E. Leoni e V. Pallavicini,G,['viene'],12
13º,Iva Zanicchi - Vic Dana,La notte dell'addio,1966,"A. Amadesi, G. Diverio, M. Remigi e A. Testa",G,"['notte', 'dell', 'addio']",13
14º,I Ribelli - The New Christy Minstrels,A la buena de Dios,1966,G. Malgoni e B. Pallesi,G,"['buena', 'de', 'dios']",14
NF,Luciana Turina - Gino,Dipendesse da me,1966,V. Pallavicini e I. Pattacini,G,['dipendesse'],NF
NF,Adriano Celentano - Trio del Clan,Il ragazzo della via Gluck,1966,"L. Beretta, M. Del Prete e A. Celentano",G,"['ragazzo', 'via', 'gluck']",NF
NF,Franco Tozzi - Bobby Vinton,Io non posso crederti,1966,G. Marchetti e G. Sanjust,G,"['posso', 'crederti']",NF
NF,Anna Marchetti - Plinio Maggi,Io ti amo,1966,G. Fallabrino e P. Maggi,G,['amo'],NF
NF,Gino Paoli - Ricardo,La carta vincente,1966,G. Paoli,G,"['carta', 'vincente']",NF
NF,Nicola Di Bari - Gene Pitney,Lei mi aspetta,1966,V. Pallavicini e A. Baldan Bembo,G,['aspetta'],NF
NF,Lucio Dalla - The Yardbirds,Pafff... bum!,1966,S. Bardotti e G. F. Reverberi,G,"['pafff', 'bum']",NF
NF,Giuseppe Di Stefano - P. J. Proby,Per questo voglio te,1966,Mogol e M. Deponti,G,[],NF
NF,Luciano Tomei - Luis Alberto del Paranà e Los Paraguayos,Quando vado sulla riva,1966,F. Maresca e M. Pagano,G,"['vado', 'riva']",NF
NF,Bobby Solo - The Yardbirds,Questa volta,1966,Mogol e R. Satti,G,['volta'],NF
NF,John Foster - Paola Bertoni,Se questo ballo non finisse mai,1966,V. Pallavicini e G. Mescoli,G,"['ballo', 'finisse']",NF
NF,Equipe 84 - The Renegades,Un giorno tu mi cercherai,1966,Pantros e F. Campanino,G,"['giorno', 'cercherai']",NF
1º,Claudio Villa - Iva Zanicchi,Non pensare a me,1967,A. Testa e E. Sciorilli,G,['pensare'],1
2º,Annarita Spinaci - Les Surfs,Quando dico che ti amo,1967,A. Testa e T. Renis,G,"['dico', 'amo']",2
3º,I Giganti - The Bachelors,Proposta,1967,Albula e G. B. Martelli,G,['proposta'],3
4º,Ornella Vanoni - Mario Guarnera,La musica è finita,1967,"Nisa, F. Califano e U. Bindi",G,"['musica', 'finita']",4
5º,Orietta Berti - Les Compagnons de la Chanson,"Io, tu e le rose",1967,"D. Pace, M. Panzeri, M. G. Gili e L. Barazzetti",G,['rose'],5
6º,Lucio Dalla - The Rokes,Bisogna saper perdere,1967,G. Cassia e R. Cini,G,"['bisogna', 'saper', 'perdere']",6
7º,Sergio Endrigo - Memo Remigi,Dove credi di andare,1967,S. Endrigo,G,"['dove', 'credi', 'andare']",7
8º,Gian Pieretti - Antoine,Pietre,1967,G. Pieretti e R. Gianco,G,['pietre'],8
9º,Johnny Dorelli - Don Backy,L'immensità,1967,"D. Backy, Mogol e D. Mariano",G,['immensità'],9
10º,Little Tony - Mario Zelinotti,Cuore matto,1967,A. Ambrosino e T. Savio,G,"['cuore', 'matto']",10
11º (ex aequo),Pino Donaggio - Carmen Villani,Io per amore,1967,"P. Donaggio, G. Paoli e V. Pallavicini",G,['amore'],11
11º (ex aequo),Wilma Goich - The Bachelors,Per vedere quant'è grande il mondo,1967,Mogol e C. Donida,G,"['vedere', 'quant', 'mondo']",11
13º (ex aequo),Giorgio Gaber - Remo Germani,E allora dai,1967,G. Gaber,G,['allora'],13
13º (ex aequo),Gianni Pettenati - Gene Pitney,La rivoluzione,1967,Mogol e R. Soffici,G,['rivoluzione'],13
NF,Bobby Solo - Connie Francis,Canta ragazzina,1967,"Prog, I. Pattacini e C. Donida",G,"['canta', 'ragazzina']",NF
NF,Riki Maiocchi - Marianne Faithfull,C'è chi spera,1967,"M. Panzeri, D. Pace e G. Colonnello",G,"['c', 'spera']",NF
NF,Luigi Tenco - Dalida,"Ciao amore, ciao",1967,L. Tenco,G,['amore'],NF
NF,Peppino Di Capri - Dionne Warwick,Dedicato all'amore,1967,"A. Testa, D. Pace e F. Carraresi",G,"['dedicato', 'all', 'amore']",NF
NF,Roberta Amadei - Carmelo Pagano,Devi aver fiducia in me,1967,F. Specchia e R. Martini,G,"['devi', 'aver', 'fiducia']",NF
NF,Tony Del Monaco - Betty Curtis,È più forte di me,1967,T. Del Monaco e E. Polito,G,['forte'],NF
NF,Fred Bongusto - Anna German,Gi,1967,"V. Pallavicini, A. Amurri e F. Bongusto",G,['gi'],NF
NF,Nicola Di Bari - Gene Pitney,Guardati alle spalle,1967,L. Beretta e D. Pace,G,"['guardati', 'spalle']",NF
NF,Caterina Caselli - Sonny Bono e Cher,Il cammino di ogni speranza,1967,U. Napolitano,G,"['cammino', 'ogni', 'speranza']",NF
NF,Nico Fidenco - Cher,Ma piano (Per non svegliarmi),1967,G. Meccia,G,"['piano', 'svegliarmi']",NF
NF,Jimmy Fontana - Edoardo Vianello,Nasce una vita,1967,S. Bardotti e J. Fontana,G,"['nasce', 'vita']",NF
NF,Mino Reitano - The Hollies,Non prego per me,1967,Mogol e L. Battisti,G,['prego'],NF
NF,Los Marcellos Ferial - The Happenings,Quando vedrò,1967,M. Terzi e C. A. Rossi,G,['vedrò'],NF
NF,Domenico Modugno - Gidiuli,Sopra i tetti azzurri del mio pazzo amore,1967,V. Pallavicini e D. Modugno,G,"['sopra', 'tetti', 'azzurri', 'pazzo', 'amore']",NF
NF,Donatella Moretti - Bobby Goldsboro,Una ragazza,1967,"V. Pallavicini, B. Pallesi e W. Malgoni",G,['ragazza'],NF
NF,Milva - Los Bravos,Uno come noi,1967,"U. Martucci, G. Bertero e M. Marini",G,[],NF
1º,Sergio Endrigo - Roberto Carlos,Canzone per te,1968,"S. Endrigo, S. Bardotti",G,['canzone'],1
2º,Ornella Vanoni - Marisa Sannia,Casa bianca,1968,"A. Caponi, E. La Valle",G,"['casa', 'bianca']",2
3º,Adriano Celentano - Milva,Canzone,1968,"A. Caponi, D. Mariano",G,['canzone'],3
4º,Fausto Leali - Wilson Pickett,Deborah,1968,"V. Pallavicini, G. Conte e P. Massara",G,['deborah'],4
5º,Antoine - Gianni Pettenati,La tramontana,1968,D. Pace e M. Panzeri,G,['tramontana'],5
6º,Anna Identici - The Sandpipers,Quando m'innamoro,1968,"M. Panzeri, D. Pace e R. Livraghi",G,"['m', 'innamoro']",6
7º,Massimo Ranieri - I Giganti,Da bambino,1968,R. Pradella e R. Angiolini,G,['bambino'],7
8º,Gigliola Cinquetti - Giuliana Valci,Sera,1968,R. Vecchioni e A. Lo Vecchio,G,['sera'],8
9º,Al Bano - Bobbie Gentry,La siepe,1968,V. Pallavicini e P. Massara,G,['siepe'],9
10º,Little Tony - Mario Guarnera,Un uomo piange solo per amore,1968,"Petaluma, M. Vicari e M. Marrocchi",G,"['uomo', 'piange', 'amore']",10
11º,Wilma Goich - Dino,Gli occhi miei,1968,Mogol e C. Donida,G,['occhi'],11
12º,Annarita Spinaci - Yoko Kishi,Stanotte sentirai una canzone,1968,T. Queirolo e F. Bracardi,G,"['stanotte', 'sentirai', 'canzone']",12
13º,Louis Armstrong - Lara Saint Paul,Mi va di cantare,1968,"V. Buonassisi, G. Bertero, M. Marini e A. Valleroni",G,"['va', 'cantare']",13
14º,Tony Del Monaco - Dionne Warwick,La voce del silenzio,1968,"P. Limiti, Mogol e E. Isola",G,"['voce', 'silenzio']",14
NF,Peppino Gagliardi - Eartha Kitt,Che vale per me,1968,M. Terzi e C. A. Rossi,G,['vale'],NF
NF,Tony Renis - Domenico Modugno,Il posto mio,1968,A. Testa e T. Renis,G,['posto'],NF
NF,Nino Ferrer - Pilade,Il re d'Inghilterra,1968,N. Ferrer,G,"['re', 'inghilterra']",NF
NF,Johnny Dorelli - Paul Anka,La farfalla impazzita,1968,Mogol e L. Battisti,G,"['farfalla', 'impazzita']",NF
NF,Elio Gandolfi - Shirley Bassey,La vita,1968,A. Amurri e B. Canfora,G,['vita'],NF
NF,The Rokes - The Cowsills,Le opere di Bartolomeo,1968,S. Bardotti e R. Cini,G,"['opere', 'bartolomeo']",NF
NF,Pino Donaggio - Timi Yuro,Le solite cose,1968,V. Pallavicini e P. Donaggio,G,"['solite', 'cose']",NF
NF,Giusy Romeo - Sacha Distel,No amore,1968,"V. Pallavicini, P. Conte, M. Deponti e E. Intra",G,['amore'],NF
NF,Iva Zanicchi - Udo Jürgens,Per vivere,1968,Nisa e U. Bindi,G,['vivere'],NF
NF,Orietta Berti - Piergiorgio Farina,Tu che non sorridi mai,1968,M. Terzi e S. Sili,G,['sorridi'],NF
1º,Bobby Solo - Iva Zanicchi,Zingara,1969,L. Albertelli e E. Riccardi,G,['zingara'],1
2º,Sergio Endrigo - Mary Hopkin,Lontano dagli occhi,1969,"S. Bardotti, S. Endrigo e L. Bacalov",G,"['lontano', 'occhi']",2
3º,Don Backy - Milva,Un sorriso,1969,A. Caponi e D. Mariano,G,['sorriso'],3
4º,Fausto Leali - Tony Del Monaco,Un'ora fa,1969,"L. Beretta, E. Parazzini e G. Intra",G,"['ora', 'fa']",4
5º,Nada - The Rokes,Ma che freddo fa,1969,F. Migliacci e C. Mattone,G,"['freddo', 'fa']",5
6º,Gigliola Cinquetti - France Gall,La pioggia,1969,"D. Pace, G. Argenio, C. Conti e M. Panzeri",G,['pioggia'],6
7º,Mal - The Showmen,Tu sei bella come sei,1969,"G. Cassia, S. Bardotti, M. Marrocchi e M. Vicari",G,[],7
8º,Caterina Caselli - Johnny Dorelli,Il gioco dell'amore,1969,F. Migliacci e I. Callegari,G,"['gioco', 'dell', 'amore']",8
9º,Lucio Battisti - Wilson Pickett,Un'avventura,1969,Mogol e L. Battisti,G,['avventura'],9
10º,Orietta Berti - Massimo Ranieri,Quando l'amore diventa poesia,1969,Mogol e P. Soffici,G,"['amore', 'diventa', 'poesia']",10
11º,Carmen Villani - Alessandra Casaccia,Piccola piccola,1969,"V. Buonassisi, G. Bertero, M. Marini e A. Valleroni",G,"['piccola', 'piccola']",11
12º,Little Tony - Mario Zelinotti,Bada bambina,1969,F. Migliacci e B. Zambrini,G,"['bada', 'bambina']",12
13º,Rita Pavone - Dik Dik,Zucchero,1969,"Mogol, L. Clausetti, R. Soffici, P. Soffici e R. Guscelli",G,['zucchero'],13
14º,Riccardo Del Turco - Antoine,Cosa hai messo nel caffè?,1969,"G. Bigazzi, R. Del Turco e G. Reverberi",G,"['hai', 'messo', 'caffè']",14
NF,Junior Magli - The Casuals,Alla fine della strada,1969,"D. Pace, M. Panzeri e L. Pilat",G,"['fine', 'strada']",NF
NF,Wilma Goich - The Sweet Inspirations,Baci baci baci,1969,S. Bardotti e F. Bracardi,G,"['baci', 'baci', 'baci']",NF
NF,Checco - Elio Gandolfi,Il sole è tramontato,1969,"R. Pradella, C. Marsella, R. Nisi e G. Moschini",G,"['sole', 'tramontato']",NF
NF,Rosanna Fratello - Brenton Wood,Il treno,1969,V. Pallavicini e E. Isola,G,['treno'],NF
NF,New Trolls - Leonardo,Io che ho te,1969,"G. D'Adamo, V. De Scalzi e N. Di Palo",G,[],NF
NF,Robertino - Rocky Roberts,Le belle donne,1969,"V. Pallavicini, G. Conte e M. Virano",G,"['belle', 'donne']",NF
NF,Mino Reitano - Claudio Villa,Meglio una sera (Piangere da solo),1969,"N. Salerno, A. Salerno, F. Reitano e M. Reitano",G,"['meglio', 'sera', 'piangere']",NF
NF,Armando Savini - Sonia,Non c'è che lei,1969,M. Terzi e C. A. Rossi,G,['c'],NF
NF,Gabriella Ferri - Stevie Wonder,Se tu ragazzo mio,1969,"V. Ferri, G. Ferri e P. Pintucci",G,['ragazzo'],NF
NF,Memo Remigi - Isabella Iannetti,Una famiglia,1969,A. Testa e M. Remigi,G,['famiglia'],NF
1º,Adriano Celentano - Claudia Mori,Chi non lavora non fa l'amore,1970,"L. Beretta, M. Del Prete, A. Celentano, N. de Luca",G,"['lavora', 'fa', 'amore']",1
2º,Nicola Di Bari - Ricchi e Poveri,La prima cosa bella,1970,"Mogol, M. Scommegna, G. F. Reverberi",G,['prima'],2
3º,Sergio Endrigo - Iva Zanicchi,L'arca di Noè,1970,"S. Endrigo, L. Bacalov",G,"['arca', 'noè']",3
4º,Ornella Vanoni - Camaleonti,Eternità,1970,"G. Bigazzi, C. Cavallaro",G,['eternità'],4
5º,Patty Pravo - Little Tony,La spada nel cuore,1970,"Mogol, C. Donida Labati",G,"['spada', 'cuore']",5
6º,Gigliola Cinquetti - Bobby Solo,Romantico blues,1970,"L. Pilat, M. Panzeri e D. Pace",G,"['romantico', 'blues']",6
7º,Rosalino Cellamare - Nada,Pa' diglielo a ma',1970,"F. Migliacci, R. Gigli, E. Sbriccoli, M. Cantini e L. Greco",G,"['pa', 'diglielo']",7
8º (ex aequo),Antoine - Anna Identici,Taxi,1970,"G. Argenio, F. Arrigoni, D. Pace, M. Panzeri e C. Conti",G,['taxi'],8
8º (ex aequo),Orietta Berti - Mario Tessuto,Tipitipitì,1970,"L. Pilat, M. Panzeri e D. Pace",G,['tipitipitì'],8
10º,Luciano Tajoli - Mal,Sole pioggia e vento,1970,Mogol e A. Isola,G,"['sole', 'pioggia', 'vento']",10
