Posizione,Interprete,Canzone,anno,Autori,Sesso,Tematiche,Pos,FlagAmore
3º,Il Volo,Musica che resta,2019,"G. Nannini, E. Munda, P. Romitelli, P. Mammaro e A. Carozza",G,"['musica', 'resta']",3,False
1º,Diodato,Fai rumore,2020,Diodato e E. Roberts,M,"['fai', 'rumore']",1,False
2º,Francesco Gabbani,Viceversa,2020,F. Gabbani e Pacifico,M,['viceversa'],2,False
3º,Pinguini Tattici Nucleari,Ringo Starr,2020,R. Zanotti,G,"['ringo', 'starr']",3,False
1º,Måneskin,Zitti e buoni,2021,"D. David, T. Raggi, V. De Angelis e E. Torchio",G,"['zitti', 'buoni']",1,False
2º,Francesca Michielin e Fedez,Chiamami per nome,2021,"F. Michielin, Fedez, J. D'Amico, A. Mahmoud, A. Raina e D. Simonetta",G,"['chiamami', 'nome']",2,False
3º,Ermal Meta,Un milione di cose da dirti,2021,E. Meta e R. Cardelli,M,"['milione', 'cose', 'dirti']",3,False
1º,Mahmood e Blanco,Brividi,2022,"Mahmood, Blanco e Michelangelo",G,['brividi'],1,False
2º,Elisa,O forse sei tu,2022,Elisa e D. Petrella,F,['forse'],2,False
3º,Gianni Morandi,Apri tutte le porte,2022,L. Jovanotti e R. Onori,M,"['apri', 'porte']",3,False
1º,Marco Mengoni,Due vite,2023,"M. Mengoni, D. Petrella e D. Simonetta",M,['vite'],1,False
2º,Lazza,Cenere,2023,"Lazza, D. Petrella e Dardust",M,['cenere'],2,False
3º,Mr. Rain,Supereroi,2023,"Mr. Rain, F. Abbate e L. Vizzini",M,['supereroi'],3,False
